,user_id,session_id,session_timestamp,completed_seconds,year_of_birth,gender,handedness,total_session_count,total_musing_time,bird_count,recovery_count,seconds_calm,active_days,avg_sess_per_month,age,age_group
0,f80b83deb63a422fb601631611a66020,1ffcce2a53e743b6b4404ca82273b313,1502053737,420,1989,female,right,122,38132,1,31.0,37,375.28795138888887,9.752511335508762,29,"[25, 30)"
1,4c48d86c151647bd92381c48cce371c2,457ad8432e6948bca29db587dd9168a2,1531117110,1800,1952,male,mostly_right,51,60959,120,43.0,951,73.50587962962962,20.814661462581416,66,"[65, 70)"
2,01228adcc2d0496cb18a21740bcc354c,7a4bd481f3ca466caece21b7a81c38ad,1535500020,900,1993,male,right,44,28646,30,40.0,356,87.04379629629629,15.164779756465721,25,"[25, 30)"
3,8abd55451b634217b9f6fc172b0a11b2,8737faefcfa64e11a4cec166e770ddbe,1529224578,600,1994,male,right,121,48617,8,19.0,179,115.43328703703705,31.446735107138604,24,"[20, 25)"
4,cfe39a3d5b754a55b8624638b271b9d3,af0c0022ec4f47b6b87b1dbd751ac9ce,1516049601,600,1975,male,right,49,20401,27,23.0,250,103.68939814814813,14.176955660401369,43,"[40, 45)"
5,4782f00777fc4735883f86960d893df3,d4a94a0830d04ed98b44f46f875f9de3,1516830301,600,1958,female,right,58,34009,0,45.0,16,43.156550925925934,40.3183285658426,60,"[60, 65)"
6,76737a7ba5df4ed793ee6e1f7b361341,8f07209456db4b17b0ba860aa8fe2421,1484811082,1800,1950,female,right,68,80326,109,15.0,1076,166.7142824074074,12.236504098759562,68,"[65, 70)"
7,dd2a35dda05345c4a4531387a794c2df,e5d2e7d5820740e6893c658971696f3a,1506765444,1200,1978,male,right,39,40952,68,0.0,671,133.751875,8.74754092232352,40,"[40, 45)"
8,674f753444734faf894b5b9944fec854,669cb54ce55745b3a690aa9f84209a56,1529244775,900,1967,male,ambidextrous,37,39853,113,0.0,736,52.00265046296296,21.345065878720128,51,"[50, 55)"
9,0066695c3dc040c585b2e42edb8c63fa,d0faec01160a442aa4d2b75a7770af7d,1500426229,900,1984,male,right,33,26041,125,1.0,763,68.18924768518518,14.518417985348847,34,"[30, 35)"
10,ea0322ead0e943baae534b99ef65a9f9,34dcad5467ec40398ea3dc13a1a594db,1531430880,600,1981,male,right,41,23220,95,0.0,539,93.0588773148148,13.21743863123294,37,"[35, 40)"
